DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,"{'x':9,'y':6,'name':'XXX_E_9,'y':6','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':10,'y':6,'name':'XXX_E_10,'y':6','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':11,'y':6,'name':'XXX_E_11,'y':6','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':12,'y':6,'name':'XXX_E_12,'y':6','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':13,'y':6,'name':'XXX_E_13,'y':6','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':14,'y':6,'name':'XXX_E_14,'y':6','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':15,'y':6,'name':'XXX_E_15,'y':6','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
"{'x':0,'y':5,'name':'XXX_E_0,'y':5','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':1,'y':5,'name':'XXX_E_1,'y':5','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':2,'y':5,'name':'XXX_E_2,'y':5','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':3,'y':5,'name':'XXX_E_3,'y':5','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':4,'y':5,'name':'XXX_E_4,'y':5','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,"{'x':9,'y':5,'name':'XXX_E_9,'y':5','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':10,'y':5,'name':'XXX_E_10,'y':5','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':11,'y':5,'name':'XXX_E_11,'y':5','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':12,'y':5,'name':'XXX_E_12,'y':5','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':13,'y':5,'name':'XXX_E_13,'y':5','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':14,'y':5,'name':'XXX_E_14,'y':5','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':15,'y':5,'name':'XXX_E_15,'y':5','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
"{'x':0,'y':4,'name':'XXX_E_0,'y':4','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':1,'y':4,'name':'XXX_E_1,'y':4','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':2,'y':4,'name':'XXX_E_2,'y':4','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':3,'y':4,'name':'XXX_E_3,'y':4','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':4,'y':4,'name':'XXX_E_4,'y':4','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':5,'y':4,'name':'XXX_E_5,'y':4','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':6,'y':4,'name':'XXX_E_6,'y':4','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':7,'y':4,'name':'XXX_E_7,'y':4','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':8,'y':4,'name':'XXX_E_8,'y':4','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':9,'y':4,'name':'XXX_E_9,'y':4','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':10,'y':4,'name':'XXX_E_10,'y':4','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':11,'y':4,'name':'XXX_E_11,'y':4','map_tile':{'name':'TILE_PIT'},'level_name':''},","{'x':12,'y':4,'name':'XXX_E_12,'y':4','map_tile':{'name':'TILE_PIT'},'level_name':''},","{'x':13,'y':4,'name':'XXX_E_13,'y':4','map_tile':{'name':'TILE_PIT'},'level_name':''},","{'x':14,'y':4,'name':'XXX_E_14,'y':4','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':15,'y':4,'name':'XXX_E_15,'y':4','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
"{'x':0,'y':3,'name':'XXX_E_0,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':1,'y':3,'name':'XXX_E_1,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':2,'y':3,'name':'XXX_E_2,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':3,'y':3,'name':'XXX_E_3,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':4,'y':3,'name':'XXX_E_4,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':5,'y':3,'name':'XXX_E_5,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':6,'y':3,'name':'XXX_E_6,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':7,'y':3,'name':'XXX_E_7,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':8,'y':3,'name':'XXX_E_8,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':9,'y':3,'name':'XXX_E_9,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':10,'y':3,'name':'XXX_E_10,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':11,'y':3,'name':'XXX_E_11,'y':3','map_tile':{'name':'TILE_PIT'},'level_name':''},","{'x':12,'y':3,'name':'XXX_E_12,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':13,'y':3,'name':'XXX_E_13,'y':3','map_tile':{'name':'TILE_PIT'},'level_name':''},","{'x':14,'y':3,'name':'XXX_E_14,'y':3','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':15,'y':3,'name':'XXX_E_15,'y':3','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
"{'x':0,'y':2,'name':'XXX_E_0,'y':2','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':1,'y':2,'name':'XXX_E_1,'y':2','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':2,'y':2,'name':'XXX_E_2,'y':2','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':3,'y':2,'name':'XXX_E_3,'y':2','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':4,'y':2,'name':'XXX_E_4,'y':2','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':5,'y':2,'name':'XXX_E_5,'y':2','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':6,'y':2,'name':'XXX_E_6,'y':2','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':7,'y':2,'name':'XXX_E_7,'y':2','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':8,'y':2,'name':'XXX_E_8,'y':2','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':9,'y':2,'name':'XXX_E_9,'y':2','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':10,'y':2,'name':'XXX_E_10,'y':2','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':11,'y':2,'name':'XXX_E_11,'y':2','map_tile':{'name':'TILE_PIT'},'level_name':''},","{'x':12,'y':2,'name':'XXX_E_12,'y':2','map_tile':{'name':'TILE_PIT'},'level_name':''},","{'x':13,'y':2,'name':'XXX_E_13,'y':2','map_tile':{'name':'TILE_PIT'},'level_name':''},","{'x':14,'y':2,'name':'XXX_E_14,'y':2','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':15,'y':2,'name':'XXX_E_15,'y':2','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
"{'x':0,'y':1,'name':'XXX_E_0,'y':1','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':1,'y':1,'name':'XXX_E_1,'y':1','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':2,'y':1,'name':'XXX_E_2,'y':1','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':3,'y':1,'name':'XXX_E_3,'y':1','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':4,'y':1,'name':'XXX_E_4,'y':1','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,"{'x':9,'y':1,'name':'XXX_E_9,'y':1','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':10,'y':1,'name':'XXX_E_10,'y':1','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':11,'y':1,'name':'XXX_E_11,'y':1','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':12,'y':1,'name':'XXX_E_12,'y':1','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':13,'y':1,'name':'XXX_E_13,'y':1','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':14,'y':1,'name':'XXX_E_14,'y':1','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':15,'y':1,'name':'XXX_E_15,'y':1','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
"{'x':0,'y':0,'name':'XXX_E_0,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':1,'y':0,'name':'XXX_E_1,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':2,'y':0,'name':'XXX_E_2,'y':0','map_tile':{'name':'TILE_CAVE_FLOOR'},'level_name':''},","{'x':3,'y':0,'name':'XXX_E_3,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':4,'y':0,'name':'XXX_E_4,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,"{'x':9,'y':0,'name':'XXX_E_9,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':10,'y':0,'name':'XXX_E_10,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':11,'y':0,'name':'XXX_E_11,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':12,'y':0,'name':'XXX_E_12,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':13,'y':0,'name':'XXX_E_13,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':14,'y':0,'name':'XXX_E_14,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},","{'x':15,'y':0,'name':'XXX_E_15,'y':0','map_tile':{'name':'TILE_CAVE_WALL'},'level_name':''},",DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,,,,,,,
